PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
908	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
909	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
910	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
911	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
912	0.074141	2.313559	-7.003065	0.000000	-4.605170	-452.606853
913	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
914	-0.087733	1.333419	-7.003065	0.000000	-4.605170	-452.606853
915	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
916	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
917	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
918	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
919	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
920	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
921	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
922	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
923	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
924	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
925	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
926	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
927	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
928	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
929	-0.329138	0.548687	-5.991465	0.000000	0.000000	-52.736311
930	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
931	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
932	-0.551701	-80.385738	-5.991465	0.000000	0.000000	-52.736311
933	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
934	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
935	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
936	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
937	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
938	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
939	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
940	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
941	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
942	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
943	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
944	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
945	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
946	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
947	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
948	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
949	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
950	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
951	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
952	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
953	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
954	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
955	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
956	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
957	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
958	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
959	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
960	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
961	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
962	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
963	0.040424	1.669229	-5.703782	0.000000	0.000000	-20.030118
964	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
965	-0.803513	-118.033046	-5.703782	0.000000	0.000000	-20.030118
966	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
967	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
968	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
969	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
970	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
971	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
972	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
973	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
974	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
975	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
976	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
977	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
978	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
979	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
980	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
981	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
982	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
983	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
984	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
985	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
986	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
987	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
988	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
989	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
990	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
991	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
992	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
993	0.047135	-0.477858	-9.035987	0.000000	0.000000	-5.298317
994	-1.372188	-114.470374	-5.298317	0.000000	0.000000	0.000000
995	-1.372188	-114.470374	-5.298317	0.000000	0.000000	0.000000
