hhno pno day tour half tseg tsvid opurp dpurp oadtyp dadtyp opcl otaz dpcl dtaz mode pathtype dorp deptm arrtm endacttm travtime travcost travdist trexpfac
4000657 1 1 1 1 2 2 4 5 4 4 23689 777 23689 777 3 0 1 1224 1226 1318 3.612097 -1.000000 0.636321 55.744210
4000657 1 1 1 2 1 3 5 0 4 1 23689 777 23659 776 3 0 1 1318 1323 400 4.819744 -1.000000 0.957196 55.744210
4000697 1 1 1 1 1 1 0 3 1 4 17182 2482 23465 256 4 0 1 620 650 705 41.173767 -1.000000 22.236666 39.923758
4000697 1 1 1 1 2 2 3 1 4 2 23465 256 22712 974 3 0 1 705 735 1710 20.934299 -1.000000 10.017115 39.923758
4000697 1 1 1 2 1 3 1 0 2 1 22712 974 17182 2482 3 0 1 1710 1805 400 26.764265 -1.000000 15.103334 39.923758
4000724 1 1 1 1 1 1 0 8 1 4 4684 710 4748 713 3 0 1 905 910 1058 4.555242 -1.000000 1.113707 137.052019
4000724 1 1 1 2 1 2 8 0 4 1 4748 713 4684 710 3 0 1 1058 1106 400 4.552438 -1.000000 1.113707 137.052019
4000756 1 1 1 1 1 1 0 1 1 2 22521 181 23417 701 3 0 1 845 900 1800 14.852698 -1.000000 5.966297 110.719844
4000756 1 1 1 2 1 2 1 6 2 4 23417 701 4666 735 3 0 1 1800 1830 2000 12.643960 -1.000000 5.940514 110.719844
4000756 1 1 1 2 2 3 6 0 4 1 4666 735 22521 181 3 0 1 2000 2030 400 24.610683 -1.000000 10.636061 110.719844
4000756 2 1 1 1 1 1 0 1 1 2 22521 181 21454 95 4 0 1 1530 1600 1800 21.416735 -1.000000 9.252096 110.719844
4000756 2 1 1 2 1 2 1 6 2 4 21454 95 4666 735 4 0 1 1800 1830 2000 29.426334 -1.000000 14.529452 110.719844
4000756 2 1 1 2 2 3 6 0 4 1 4666 735 22521 181 4 0 1 2000 2030 400 24.610683 -1.000000 10.636061 110.719844
4000801 1 1 1 1 1 6 0 3 1 4 4885 163 26702 454 4 0 1 1755 1812 1827 12.396473 -1.000000 5.680704 35.317755
4000801 1 1 1 2 1 7 3 0 4 1 26702 454 4885 163 3 0 1 1827 1845 400 13.419197 -1.000000 5.705647 35.317755
4000801 1 1 2 1 1 3 0 4 1 4 4885 163 4854 158 3 0 1 1145 1154 1215 5.100465 -1.000000 1.138083 35.317755
4000801 1 1 2 1 2 4 4 4 4 4 4854 158 5017 647 3 0 1 1215 1222 1248 7.903866 -1.000000 2.562536 35.317755
4000801 1 1 2 2 1 5 4 0 4 1 5017 647 4885 163 3 0 1 1248 1300 1755 7.657317 -1.000000 2.397265 35.317755
4000801 1 1 3 1 1 1 0 5 1 4 4885 163 9351 655 3 0 1 1000 1005 1030 4.068470 -1.000000 0.552873 35.317755
4000801 1 1 3 2 1 2 5 0 4 1 9351 655 4885 163 3 0 1 1030 1035 1145 4.070635 -1.000000 0.552873 35.317755
4000838 1 1 1 1 1 1 0 1 1 4 28370 1214 28588 1133 3 0 1 1145 1210 2030 18.259733 -1.000000 8.692592 121.444961
4000838 1 1 1 2 1 2 1 0 4 1 28588 1133 28370 1214 3 0 1 2030 2105 400 16.846130 -1.000000 8.692591 121.444961
4000838 2 1 1 1 1 1 0 4 1 4 28370 1214 32475 2708 3 0 1 1010 1100 1500 53.946838 -1.000000 40.784882 121.444961
4000838 2 1 1 2 1 2 4 0 4 1 32475 2708 28370 1214 3 0 1 1500 1555 1630 58.506454 -1.000000 40.463764 121.444961
4000838 2 1 2 1 1 3 0 8 1 4 28370 1214 17944 1210 4 0 1 1630 1640 1730 7.813555 -1.000000 2.549849 121.444961
4000838 2 1 2 2 1 4 8 0 4 1 17944 1210 28370 1214 3 0 1 1730 1740 400 7.927408 -1.000000 2.549849 121.444961
4000925 1 1 1 1 1 3 0 1 1 2 31453 1898 29868 1823 3 0 1 1730 1750 2230 14.108243 -1.000000 6.107060 54.036979
4000925 1 1 1 2 1 4 1 0 2 1 29868 1823 31453 1898 3 0 1 2230 2240 400 14.598751 -1.000000 6.107061 54.036979
4000925 1 1 2 1 1 1 0 5 1 4 31453 1898 30878 1906 3 0 1 1500 1505 1520 5.957107 -1.000000 1.617403 54.036979
